origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes,genero
Southern Asia,78.0,23.0,South-Eastern Asia,108.0,4.0,1990,115278,male
Western Asia,40.0,33.0,South-Eastern Asia,108.0,4.0,1990,7413,male
Eastern Europe,30.0,50.0,South-Eastern Asia,108.0,4.0,1990,29,male
Northern Europe,15.0,60.0,South-Eastern Asia,108.0,4.0,1990,19373,male
Southern Europe,15.0,41.0,South-Eastern Asia,108.0,4.0,1990,1135,male
Western Europe,2.0,48.0,South-Eastern Asia,108.0,4.0,1990,5400,male
Caribbean,-75.0,18.0,South-Eastern Asia,108.0,4.0,1990,53,male
Central America,-86.0,15.0,South-Eastern Asia,108.0,4.0,1990,42,male
South America,-60.0,-10.0,South-Eastern Asia,108.0,4.0,1990,357,male
NORTHERN AMERICA,-100.0,45.0,South-Eastern Asia,108.0,4.0,1990,19815,male
OCEANIA,140.0,-25.0,South-Eastern Asia,108.0,4.0,1990,9638,male
Eastern Africa,39.0,-6.5,Southern Asia,78.0,23.0,1990,6517,male
Middle Africa,17.0,1.0,Southern Asia,78.0,23.0,1990,0,male
Northern Africa,18.0,28.0,Southern Asia,78.0,23.0,1990,9,male
Southern Africa,24.0,-29.0,Southern Asia,78.0,23.0,1990,2,male
Western Africa,-2.0,16.0,Southern Asia,78.0,23.0,1990,734,male
Central Asia,63.0,48.0,Southern Asia,78.0,23.0,1990,24203,male
Eastern Asia,116.0,39.0,Southern Asia,78.0,23.0,1990,101844,male
South-Eastern Asia,108.0,4.0,Southern Asia,78.0,23.0,1990,336831,male
Southern Asia,78.0,23.0,Southern Asia,78.0,23.0,1990,9376870,male
Western Asia,40.0,33.0,Southern Asia,78.0,23.0,1990,166908,male
Eastern Europe,30.0,50.0,Southern Asia,78.0,23.0,1990,1692,male
Northern Europe,15.0,60.0,Southern Asia,78.0,23.0,1990,9727,male
Southern Europe,15.0,41.0,Southern Asia,78.0,23.0,1990,360,male
Western Europe,2.0,48.0,Southern Asia,78.0,23.0,1990,5703,male
Caribbean,-75.0,18.0,Southern Asia,78.0,23.0,1990,0,male
Central America,-86.0,15.0,Southern Asia,78.0,23.0,1990,0,male
South America,-60.0,-10.0,Southern Asia,78.0,23.0,1990,299,male
NORTHERN AMERICA,-100.0,45.0,Southern Asia,78.0,23.0,1990,21218,male
OCEANIA,140.0,-25.0,Southern Asia,78.0,23.0,1990,2402,male
Eastern Africa,39.0,-6.5,Western Asia,40.0,33.0,1990,109127,male
Middle Africa,17.0,1.0,Western Asia,40.0,33.0,1990,4634,male
Northern Africa,18.0,28.0,Western Asia,40.0,33.0,1990,940143,male
Southern Africa,24.0,-29.0,Western Asia,40.0,33.0,1990,4727,male
Western Africa,-2.0,16.0,Western Asia,40.0,33.0,1990,2369,male
Central Asia,63.0,48.0,Western Asia,40.0,33.0,1990,56112,male
Eastern Asia,116.0,39.0,Western Asia,40.0,33.0,1990,2076,male
South-Eastern Asia,108.0,4.0,Western Asia,40.0,33.0,1990,826839,male
Southern Asia,78.0,23.0,Western Asia,40.0,33.0,1990,3232002,male
Western Asia,40.0,33.0,Western Asia,40.0,33.0,1990,2081204,male
Eastern Europe,30.0,50.0,Western Asia,40.0,33.0,1990,674194,male
Northern Europe,15.0,60.0,Western Asia,40.0,33.0,1990,48474,male
Southern Europe,15.0,41.0,Western Asia,40.0,33.0,1990,83399,male
Western Europe,2.0,48.0,Western Asia,40.0,33.0,1990,143545,male
Caribbean,-75.0,18.0,Western Asia,40.0,33.0,1990,31,male
Central America,-86.0,15.0,Western Asia,40.0,33.0,1990,704,male
South America,-60.0,-10.0,Western Asia,40.0,33.0,1990,19379,male
NORTHERN AMERICA,-100.0,45.0,Western Asia,40.0,33.0,1990,44348,male
OCEANIA,140.0,-25.0,Western Asia,40.0,33.0,1990,2894,male
Eastern Africa,39.0,-6.5,Eastern Europe,30.0,50.0,1990,1870,male
Middle Africa,17.0,1.0,Eastern Europe,30.0,50.0,1990,1272,male
