origen,lon_origen,lat_origen,destino,lon_destino,lat_destino,year,num_migrantes
Northern Africa,18.0,28.0,Eastern Asia,116.0,39.0,1990,368
Southern Africa,24.0,-29.0,Eastern Asia,116.0,39.0,1990,0
Western Africa,-2.0,16.0,Eastern Asia,116.0,39.0,1990,791
Central Asia,63.0,48.0,Eastern Asia,116.0,39.0,1990,655
Eastern Asia,116.0,39.0,Eastern Asia,116.0,39.0,1990,2846041
South-Eastern Asia,108.0,4.0,Eastern Asia,116.0,39.0,1990,587623
Southern Asia,78.0,23.0,Eastern Asia,116.0,39.0,1990,38375
Western Asia,40.0,33.0,Eastern Asia,116.0,39.0,1990,109
Eastern Europe,30.0,50.0,Eastern Asia,116.0,39.0,1990,3985
Northern Europe,15.0,60.0,Eastern Asia,116.0,39.0,1990,27044
Southern Europe,15.0,41.0,Eastern Asia,116.0,39.0,1990,6391
Western Europe,2.0,48.0,Eastern Asia,116.0,39.0,1990,14397
Caribbean,-75.0,18.0,Eastern Asia,116.0,39.0,1990,0
Central America,-86.0,15.0,Eastern Asia,116.0,39.0,1990,786
South America,-60.0,-10.0,Eastern Asia,116.0,39.0,1990,73571
NORTHERN AMERICA,-100.0,45.0,Eastern Asia,116.0,39.0,1990,77856
OCEANIA,140.0,-25.0,Eastern Asia,116.0,39.0,1990,13913
Eastern Africa,39.0,-6.5,South-Eastern Asia,108.0,4.0,1990,57
Middle Africa,17.0,1.0,South-Eastern Asia,108.0,4.0,1990,703
Northern Africa,18.0,28.0,South-Eastern Asia,108.0,4.0,1990,14754
Southern Africa,24.0,-29.0,South-Eastern Asia,108.0,4.0,1990,186
Western Africa,-2.0,16.0,South-Eastern Asia,108.0,4.0,1990,65
Central Asia,63.0,48.0,South-Eastern Asia,108.0,4.0,1990,0
Eastern Asia,116.0,39.0,South-Eastern Asia,108.0,4.0,1990,707453
South-Eastern Asia,108.0,4.0,South-Eastern Asia,108.0,4.0,1990,1341305
Southern Asia,78.0,23.0,South-Eastern Asia,108.0,4.0,1990,193037
Western Asia,40.0,33.0,South-Eastern Asia,108.0,4.0,1990,14945
Eastern Europe,30.0,50.0,South-Eastern Asia,108.0,4.0,1990,54
Northern Europe,15.0,60.0,South-Eastern Asia,108.0,4.0,1990,34573
Southern Europe,15.0,41.0,South-Eastern Asia,108.0,4.0,1990,1909
Western Europe,2.0,48.0,South-Eastern Asia,108.0,4.0,1990,7178
Caribbean,-75.0,18.0,South-Eastern Asia,108.0,4.0,1990,102
Central America,-86.0,15.0,South-Eastern Asia,108.0,4.0,1990,61
South America,-60.0,-10.0,South-Eastern Asia,108.0,4.0,1990,719
NORTHERN AMERICA,-100.0,45.0,South-Eastern Asia,108.0,4.0,1990,34679
OCEANIA,140.0,-25.0,South-Eastern Asia,108.0,4.0,1990,17799
