origen,destino,year,num_migrantes,continentes
Middle Africa,Less developed regions,2015,2882061,África
Northern Africa,Less developed regions,2015,4876280,África
Southern Africa,Less developed regions,2015,436466,África
Western Africa,Less developed regions,2015,6936088,África
Central Asia,Less developed regions,2015,629661,Asia
Eastern Asia,Less developed regions,2015,5511404,Asia
South-Eastern Asia,Less developed regions,2015,12466649,Asia
Southern Asia,Less developed regions,2015,29422312,Asia
Western Asia,Less developed regions,2015,13418762,Asia
Eastern Europe,Less developed regions,2015,5527446,Europa
Northern Europe,Less developed regions,2015,494731,Europa
Southern Europe,Less developed regions,2015,1218729,Europa
Western Europe,Less developed regions,2015,1220581,Europa
Caribbean,Less developed regions,2015,1011870,Latinoamerica
Central America,Less developed regions,2015,696736,Latinoamerica
South America,Less developed regions,2015,4643484,Latinoamerica
Eastern Africa,Developed regions,2020,3082132,África
Middle Africa,Developed regions,2020,1095017,África
Northern Africa,Developed regions,2020,6778192,África
Southern Africa,Developed regions,2020,818376,África
Western Africa,Developed regions,2020,3111790,África
Central Asia,Developed regions,2020,7182034,Asia
Eastern Asia,Developed regions,2020,9017654,Asia
South-Eastern Asia,Developed regions,2020,9242662,Asia
Southern Asia,Developed regions,2020,11382542,Asia
Western Asia,Developed regions,2020,9960382,Asia
Eastern Europe,Developed regions,2020,26322046,Europa
Northern Europe,Developed regions,2020,7342483,Europa
Southern Europe,Developed regions,2020,12661572,Europa
Western Europe,Developed regions,2020,7767497,Europa
Caribbean,Developed regions,2020,7723732,Latinoamerica
Central America,Developed regions,2020,15365881,Latinoamerica
South America,Developed regions,2020,8311665,Latinoamerica
Eastern Africa,Less developed regions,2020,8945157,África
Middle Africa,Less developed regions,2020,3325645,África
Northern Africa,Less developed regions,2020,5504433,África
Southern Africa,Less developed regions,2020,460059,África
Western Africa,Less developed regions,2020,7446362,África
Central Asia,Less developed regions,2020,653470,Asia
Eastern Asia,Less developed regions,2020,5802350,Asia
South-Eastern Asia,Less developed regions,2020,14338074,Asia
Southern Asia,Less developed regions,2020,32011503,Asia
Western Asia,Less developed regions,2020,15320813,Asia
Eastern Europe,Less developed regions,2020,5872306,Europa
Northern Europe,Less developed regions,2020,542297,Europa
Southern Europe,Less developed regions,2020,1355539,Europa
Western Europe,Less developed regions,2020,1409923,Europa
Caribbean,Less developed regions,2020,1355040,Latinoamerica
Central America,Less developed regions,2020,833093,Latinoamerica
South America,Less developed regions,2020,9301070,Latinoamerica
